AffiliateURL,Algorithm,Company,Cost,CurrenciesAvailable,CurrenciesAvailableLogo,CurrenciesAvailableName,Currency,EquipmentType,HashesPerSecond,Id,LogoUrl,Name,ParentId,PowerConsumption,Recommended,Sponsored,Url,key,source,timestamp_api_call
http://ehash.com/,SHA256,Avalon,0.06,BTC,/media/19633/btc.png,Bitcoin,BTC,USB,7000000000,2451,/media/19540/avalonnano.jpg,Avalon Nano,2357,7,False,False,/mining/avalon/avalon-nano/,2451,cryptocompare,2017-12-28 20:56:26.464245
http://ehash.com/,SHA256,Avalon,1.57,BTC,/media/19633/btc.png,Bitcoin,BTC,Rig,1300000000000,2452,/media/19539/avalon4.jpg,Avalon4.1 – 1.3T,2357,990,False,False,/mining/avalon/avalon41-13t/,2452,cryptocompare,2017-12-28 20:56:26.466871
http://ehash.com/,SHA256,Avalon,6.84,BTC,/media/19633/btc.png,Bitcoin,BTC,Rig Bundle,3900000000000,2453,/media/19539/avalon4.jpg,Avalon4.1 – 4.2T,2357,2970,False,False,/mining/avalon/avalon41-42t/,2453,cryptocompare,2017-12-28 20:56:26.465571
https://www.bitmaintech.com/productDetail.htm?pid=00020150124112513358te42YNfK0683,SHA256,BitMain,275.0,BTC,/media/19633/btc.png,Bitcoin,USD,Rig,1000000000000,2454,/media/19531/antminerc1.jpg,AntMiner C1,2359,800,False,False,/mining/bitmain/antminer-c1/,2454,cryptocompare,2017-12-28 20:56:26.462632
https://www.bitmaintech.com/productDetail.htm?pid=0002015010910534350743Cb2LmG062C,SHA256,BitMain,20.0,BTC,/media/19633/btc.png,Bitcoin,USD,USB,63000000000,2455,/media/20533/antminer-u3.jpg,Antminer U3,2359,63,False,False,/mining/bitmain/antminer-u3/,2455,cryptocompare,2017-12-28 20:56:26.460912
http://www.spondoolies-tech.com/,SHA256,Spondoolies Tech,479.0,BTC,/media/19633/btc.png,Bitcoin,USD,Rig,1700000000,2476,/media/19520/sp20.jpg,SP20,2367,1200,False,False,/mining/spondoolies-tech/sp20/,2476,cryptocompare,2017-12-28 20:56:26.418999
http://www.spondoolies-tech.com/,SHA256,Spondoolies Tech,1195.0,BTC,/media/19633/btc.png,Bitcoin,USD,Rig Bundle,5100000000000,2477,/media/19520/sp20.jpg,SP20 (x3) Nano Farm,2367,3600,False,False,/mining/spondoolies-tech/sp20-x3-nano-farm/,2477,cryptocompare,2017-12-28 20:56:26.417786
http://www.spondoolies-tech.com/,SHA256,Spondoolies Tech,5975.0,BTC,/media/19633/btc.png,Bitcoin,USD,Rig Bundle,25500000000000,2478,/media/19520/sp20.jpg,SP20 (x15) Mini Farm,2367,18000,False,False,/mining/spondoolies-tech/sp20-x15-mini-farm/,2478,cryptocompare,2017-12-28 20:56:26.426330
http://www.spondoolies-tech.com/,SHA256,Spondoolies Tech,2075.0,BTC,/media/19633/btc.png,Bitcoin,USD,Rig,4900000000000,2479,/media/19525/yukonsp31.jpg,SP31 Yukon,2367,3000,False,False,/mining/spondoolies-tech/sp31-yukon/,2479,cryptocompare,2017-12-28 20:56:26.424877
https://www.bitmaintech.com/productDetail.htm?pid=00020160129054250700R0OMI3KI061A,SHA256,BitMain,2.1,BTC,/media/19633/btc.png,Bitcoin,BTC,ASIC,4730000000000,10980,/media/20703/bitmain-s7-miner.jpg,AntMiner S7 Batch 10,2359,1293,True,False,/mining/bitmain/antminer-s7-miner/,10980,cryptocompare,2017-12-28 20:56:26.454479
