Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,0.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514357280.0,2017-12-28 09:08:12.118047,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514357460.0,2017-12-28 09:08:12.118047,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514357640.0,2017-12-28 09:08:12.118047,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514357820.0,2017-12-28 09:08:12.118047,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514358000.0,2017-12-28 09:08:12.118047,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514358180.0,2017-12-28 09:08:12.118047,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514358360.0,2017-12-28 09:08:12.118047,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514358540.0,2017-12-28 09:08:12.118047,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514358720.0,2017-12-28 09:08:12.118047,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514358900.0,2017-12-28 09:08:12.118047,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514359080.0,2017-12-28 09:08:12.118047,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514359260.0,2017-12-28 09:08:12.118047,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514359440.0,2017-12-28 09:08:12.118047,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514359620.0,2017-12-28 09:08:12.118047,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514359800.0,2017-12-28 09:08:12.118047,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514359980.0,2017-12-28 09:08:12.118047,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514360160.0,2017-12-28 09:08:12.118047,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514360340.0,2017-12-28 09:08:12.118047,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514360520.0,2017-12-28 09:08:12.118047,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514360700.0,2017-12-28 09:08:12.118047,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514360880.0,2017-12-28 09:08:12.118047,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514361060.0,2017-12-28 09:08:12.118047,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514361240.0,2017-12-28 09:08:12.118047,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514361420.0,2017-12-28 09:08:12.118047,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514361600.0,2017-12-28 09:08:12.118047,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514361780.0,2017-12-28 09:08:12.118047,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514361960.0,2017-12-28 09:08:12.118047,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514362140.0,2017-12-28 09:08:12.118047,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514362320.0,2017-12-28 09:08:12.118047,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514362500.0,2017-12-28 09:08:12.118047,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514362680.0,2017-12-28 09:08:12.118047,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514362860.0,2017-12-28 09:08:12.118047,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514363040.0,2017-12-28 09:08:12.118047,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514363220.0,2017-12-28 09:08:12.118047,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514363400.0,2017-12-28 09:08:12.118047,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514363580.0,2017-12-28 09:08:12.118047,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514363760.0,2017-12-28 09:08:12.118047,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514363940.0,2017-12-28 09:08:12.118047,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514364120.0,2017-12-28 09:08:12.118047,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514364300.0,2017-12-28 09:08:12.118047,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514364480.0,2017-12-28 09:08:12.118047,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514364660.0,2017-12-28 09:08:12.118047,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514364840.0,2017-12-28 09:08:12.118047,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,7.01e-06,1.0,JordanManual,CCCAGG,7.01e-06,7.01e-06,7.01e-06,NTM,1514365020.0,2017-12-28 09:08:12.118047,0.0,0.0
